HUNTER100,99
HUNTER101,103
HUNTER102,108
HUNTER103,116
HUNTER104,112
HUNTER105,117
HUNTER106,122
HUNTER107,114
HUNTER108,114
HUNTER109,111
HUNTER110,114
HUNTER111,117
HUNTER112,117
HUNTER113,126
HUNTER114,122
HUNTER115,112
HUNTER116,112
HUNTER117,109
HUNTER118,116
HUNTER119,118
HUNTER120,124
HUNTER121,130
HUNTER122,131
HUNTER122,3900
HUNTER123,2489
HUNTER124,1550
HUNTER125,1010
HUNTER126,1525
HUNTER127,2105
HUNTER128,710
HUNTER129,570
HUNTER130,2185
HUNTER131,2200
HUNTER132,1402
HUNTER133,1605
HUNTER134,1400
HUNTER135,1209
HUNTER136,1253
HUNTER137,1910
HUNTER138,1510
HUNTER139,1410
HUNTER140,1375
HUNTER141,1455
HUNTER142,1420
HUNTER143,2710
HUNTER144,1980
HUNTER145,2780
HUNTER146,1240
HUNTER147,5412
HUNTER148,4921
HUNTER149,5220
HUNTER150,5952
HUNTER151,5429
HUNTER152,31117
HUNTER100,85836
HUNTER100,43719
HUNTER100,57610
HUNTER100,9960
HUNTER100,43450
HUNTER100,90486
HUNTER152,56780
HUNTER153,77812
HUNTER154,48007
HUNTER155,25623
HUNTER156,65928
HUNTER157,36355
HUNTER158,87870
HUNTER159,56780
HUNTER160,24192
HUNTER161,20250
HUNTER162,44660
HUNTER163,60264
HUNTER164,28737
HUNTER165,66729
HUNTER166,43794
HUNTER167,42450
HUNTER168,33743
HUNTER169,90792
HUNTER170,52010
HUNTER171,43848
HUNTER172,86400
HUNTER173,92730
HUNTER174,16605
HUNTER175,75416
HUNTER176,68284
HUNTER177,12600
HUNTER178,95040
HUNTER179,110110
HUNTER180,76670
HUNTER181,70818
HUNTER182,29093
HUNTER183,38256
HUNTER184,43952
HUNTER185,79477
HUNTER186,11220
HUNTER187,30525
HUNTER188,77077
HUNTER189,3240
HUNTER190,41444
HUNTER191,82110
HUNTER192,104340
HUNTER193,23766
HUNTER194,71280
HUNTER195,101787
HUNTER196,18300
HUNTER197,48768
HUNTER198,22170
HUNTER199,106424
